1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	110
9	169
10	318
11	571
12	288
13	405
14	1005
15	1805
16	1619
17	2720
18	3998
19	3654
20	4097
21	4868
22	5230
23	6712
24	7823
25	7899
26	9317
27	10431
28	11839
29	14095
30	15424
31	18564
32	20020
33	22134
34	24733
35	27583
36	28687
37	31145
38	31925
39	33622
40	34803
41	34455
42	35152
43	33763
44	34310
45	33632
46	32276
47	30354
48	29617
49	28031
50	25714
51	24624
52	22213
53	20491
54	19169
55	17247
56	15518
57	13583
58	12718
59	12053
60	10945
61	8598
62	7985
63	7108
64	5931
65	6388
66	4753
67	4345
68	4958
69	5011
70	6321
71	9120
72	56004
